,mes,vendas,aumento,aceleracao
0,2013-01-01,131479.0,,
1,2013-02-01,128090.0,-3389.0,
2,2013-03-01,147142.0,19052.0,22441.0
3,2013-04-01,107190.0,-39952.0,-59004.0
4,2013-05-01,106970.0,-220.0,39732.0
5,2013-06-01,125381.0,18411.0,18631.0
6,2013-07-01,116966.0,-8415.0,-26826.0
7,2013-08-01,125291.0,8325.0,16740.0
8,2013-09-01,133332.0,8041.0,-284.0
9,2013-10-01,127541.0,-5791.0,-13832.0
10,2013-11-01,130009.0,2468.0,8259.0
11,2013-12-01,183342.0,53333.0,50865.0
12,2014-01-01,116899.0,-66443.0,-119776.0
13,2014-02-01,109687.0,-7212.0,59231.0
14,2014-03-01,115297.0,5610.0,12822.0
15,2014-04-01,96556.0,-18741.0,-24351.0
16,2014-05-01,97790.0,1234.0,19975.0
17,2014-06-01,97429.0,-361.0,-1595.0
18,2014-07-01,91280.0,-6149.0,-5788.0
19,2014-08-01,102721.0,11441.0,17590.0
20,2014-09-01,99208.0,-3513.0,-14954.0
21,2014-10-01,107422.0,8214.0,11727.0
22,2014-11-01,117845.0,10423.0,2209.0
23,2014-12-01,168755.0,50910.0,40487.0
24,2015-01-01,110971.0,-57784.0,-108694.0
25,2015-02-01,84198.0,-26773.0,31011.0
26,2015-03-01,82014.0,-2184.0,24589.0
27,2015-04-01,77827.0,-4187.0,-2003.0
28,2015-05-01,72295.0,-5532.0,-1345.0
29,2015-06-01,64114.0,-8181.0,-2649.0
30,2015-07-01,63187.0,-927.0,7254.0
31,2015-08-01,66079.0,2892.0,3819.0
32,2015-09-01,72843.0,6764.0,3872.0
33,2015-10-01,71056.0,-1787.0,-8551.0
